import time: self [us] | cumulative | imported package
import time:       498 |        498 |                                   django.forms.forms
import time:       850 |        850 |                                   django.forms.formsets
import time:      1013 |       1013 |                                   django.forms.models
import time:       369 |      33952 |                                 django.forms
import time:       510 |        510 |                                 django.db.models.constants
import time:       263 |        263 |                                   django.utils.tree
import time:       751 |       1014 |                                 django.db.models.query_utils
import time:      2110 |      37584 |                               django.db.models.fields
import time:       821 |        821 |                               django.db.models.enums
import time:      3230 |      43038 |                             django.db.models.expressions
import time:       156 |        156 |                                           django.db.backends
import time:       310 |        465 |                                         django.db.backends.base
import time:       332 |        332 |                                             sqlparse.tokens
import time:       544 |        544 |                                             sqlparse.utils
import time:      1094 |       1969 |                                           sqlparse.sql
import time:      1311 |       1311 |                                             argparse
import time:       184 |        184 |                                             sqlparse.exceptions
import time:       247 |       1741 |                                           sqlparse.cli
import time:       361 |        361 |                                             sqlparse.engine.grouping
import time:       742 |        742 |                                                 sqlparse.keywords
import time:       227 |        968 |                                               sqlparse.lexer
import time:       198 |        198 |                                               sqlparse.engine.statement_splitter
import time:       324 |        324 |                                                 sqlparse.filters.others
import time:       268 |        268 |                                                 sqlparse.filters.output
import time:       248 |        248 |                                                 sqlparse.filters.tokens
import time:       309 |        309 |                                                 sqlparse.filters.reindent
import time:       225 |        225 |                                                 sqlparse.filters.right_margin
import time:       240 |        240 |                                                 sqlparse.filters.aligned_indent
import time:       303 |       1916 |                                               sqlparse.filters
import time:       297 |       3378 |                                             sqlparse.engine.filter_stack
import time:       230 |       3967 |                                           sqlparse.engine
import time:       181 |        181 |                                           sqlparse.formatter
import time:       421 |       8278 |                                         sqlparse
import time:       311 |        311 |                                         django.db.backends.utils
import time:       639 |       9692 |                                       django.db.backends.base.operations
import time:      2264 |      11955 |                                     django.db.models.lookups
import time:       391 |        391 |                                     django.db.models.fields.mixins
import time:      4160 |      16505 |                                   django.db.models.fields.json
import time:       569 |      17074 |                                 django.db.models.functions.comparison
import time:      1270 |       1270 |                                 django.db.models.functions.datetime
import time:       294 |        294 |                                   django.db.models.functions.mixins
import time:       883 |       1176 |                                 django.db.models.functions.math
import time:      1178 |       1178 |                                 django.db.models.functions.text
import time:       517 |        517 |                                 django.db.models.functions.window
import time:       413 |      21625 |                               django.db.models.functions
import time:        82 |      21706 |                             django.db.models.functions.comparison
import time:       509 |      65253 |                           django.db.models.aggregates
import time:       989 |        989 |                                   difflib
import time:       533 |        533 |                                   django.db.models.fields.related_lookups
import time:       250 |        250 |                                   django.db.models.sql.constants
import time:       378 |        378 |                                   django.db.models.sql.datastructures
import time:       468 |        468 |                                   django.db.models.sql.where
import time:      1439 |       4054 |                                 django.db.models.sql.query
import time:       291 |        291 |                                 django.db.models.sql.subqueries
import time:       188 |       4532 |                               django.db.models.sql
import time:       295 |       4827 |                             django.db.models.indexes
import time:       689 |       5516 |                           django.db.models.constraints
import time:       411 |        411 |                           django.db.models.deletion
import time:       187 |        187 |                             django.core.files.images
import time:       263 |        263 |                               django.core.files.storage.base
import time:       141 |        141 |                                 django.core.files.storage.mixins
import time:       289 |        429 |                               django.core.files.storage.filesystem
import time:       183 |        183 |                               django.core.files.storage.handler
import time:       462 |        462 |                               django.core.files.storage.memory
import time:       227 |       1560 |                             django.core.files.storage
import time:       505 |       2251 |                           django.db.models.fields.files
import time:       245 |        245 |                           django.db.models.fields.generated
import time:       170 |        170 |                           django.db.models.fields.proxy
import time:      1267 |       1267 |                             django.db.models.query
import time:       655 |       1922 |                           django.db.models.manager
import time:      1396 |       1396 |                               django.db.models.fields.related_descriptors
import time:       336 |        336 |                               django.db.models.fields.reverse_related
import time:       806 |       2537 |                             django.db.models.fields.related
import time:       447 |        447 |                             django.db.models.options
import time:       979 |       3962 |                           django.db.models.base
import time:       419 |      80605 |                         django.db.models
