import time: self [us] | cumulative | imported package
import time:       374 |        374 |             psycopg._tz
import time:       655 |       1028 |           psycopg._connection_info
import time:      2316 |       3344 |         psycopg._connection_base
import time:      1451 |      12723 |       psycopg.connection
import time:      1089 |       1089 |       psycopg.raw_cursor
import time:       868 |        868 |       psycopg.client_cursor
import time:      1541 |       1541 |       psycopg.connection_async
import time:      1127 |       1127 |         psycopg._struct
import time:      8273 |       9399 |       psycopg.types.range
import time:      5485 |       5485 |       psycopg.types.multirange
import time:      2377 |       2377 |       psycopg.types.array
import time:       944 |        944 |       psycopg.types.bool
import time:      3108 |       3108 |       psycopg.types.composite
import time:      9675 |       9675 |       psycopg.types.datetime
import time:      2554 |       2554 |       psycopg.types.enum
import time:      2130 |       2130 |       psycopg.types.json
import time:      2048 |       2048 |       psycopg.types.net
import time:       512 |        512 |       psycopg.types.none
import time:       718 |        718 |         psycopg._wrappers
import time:      4477 |       5195 |       psycopg.types.numeric
import time:      1306 |       1306 |       psycopg.types.numpy
import time:       920 |        920 |       psycopg.types.uuid
import time:     66160 |     299075 |     psycopg
import time:       697 |        697 |     django.db.backends.postgresql.psycopg_any
import time:       273 |        273 |       django.db.backends.base.client
import time:       432 |        705 |     django.db.backends.postgresql.client
import time:       597 |        597 |       django.db.backends.base.creation
import time:       460 |       1056 |     django.db.backends.postgresql.creation
import time:       679 |        679 |       django.db.backends.base.features
import time:       578 |       1257 |     django.db.backends.postgresql.features
import time:      1243 |       1243 |       django.db.backends.base.introspection
import time:      1274 |       2517 |     django.db.backends.postgresql.introspection
